i,j,AR,area
1,85,13.1807,0.000794806
1,86,13.3285,0.0008036
1,87,13.4763,0.000812395
1,88,13.6242,0.00082119
1,89,13.7721,0.000829985
1,90,13.9199,0.00083878
1,91,14.0678,0.000847575
1,92,14.2157,0.000856369
1,93,14.3636,0.000865164
1,94,14.5116,0.000873959
1,95,14.6595,0.000882754
1,96,14.8074,0.000891549
1,97,14.9554,0.000900344
1,98,15.1033,0.000909139
1,99,15.2513,0.000917933
2,0,1.27379,5.52607e-05
2,1,1.32844,6.2066e-05
2,2,1.38965,6.88714e-05
2,3,1.4566,7.56767e-05
2,4,1.52854,8.2482e-05
2,5,1.60479,8.92873e-05
2,6,1.68477,9.60926e-05
2,7,1.76797,0.000102898
2,8,1.85396,0.000109703
2,9,1.94237,0.000116509
2,10,2.03288,0.000123314
2,11,2.12522,0.000130119
2,12,2.21918,0.000136925
2,13,2.31454,0.00014373
2,14,2.41114,0.000150535
2,15,2.50884,0.000157341
2,16,2.60752,0.000164146
2,17,2.70706,0.000170951
2,18,2.80739,0.000177757
2,19,2.90841,0.000184562
2,20,3.01005,0.000191367
2,21,3.11226,0.000198172
2,22,3.21498,0.000204978
2,23,3.31816,0.000211783
2,24,3.42177,0.000218588
2,25,3.52576,0.000225394
2,26,3.6301,0.000232199
2,27,3.73476,0.000239004
2,28,3.83972,0.00024581
2,29,3.94495,0.000252615
2,30,4.05043,0.00025942
2,31,4.15614,0.000266226
2,32,4.26207,0.000273031
2,33,4.36819,0.000279836
2,34,4.4745,0.000286642
2,35,4.58098,0.000293447
2,36,4.68762,0.000300252
2,37,4.79441,0.000307058
2,38,4.90135,0.000313863
2,39,5.00841,0.000320668
2,40,5.11559,0.000327474
2,41,5.22289,0.000334279
2,42,5.3303,0.000341084
2,43,5.43781,0.00034789
2,44,5.54541,0.000354695
2,45,5.6531,0.0003615
2,46,5.76088,0.000368306
2,47,5.86874,0.000375111
2,48,5.97668,0.000381916
2,49,6.08469,0.000388722
2,50,6.19276,0.000395527
2,51,6.30091,0.000402332
2,52,6.40911,0.000409137
2,53,6.51737,0.000415943
2,54,6.62569,0.000422748
2,55,6.73406,0.000429553
2,56,6.84248,0.000436359
2,57,6.95094,0.000443164
2,58,7.05946,0.000449969
2,59,7.16802,0.000456775
2,60,7.27662,0.00046358
